20230319 20:50:00.747886 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#37] from 127.0.0.1:49234 - tcpserver.cc:53
20230319 20:50:00.747913 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747916 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747932 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747935 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747957 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747958 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748063 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#38] from 127.0.0.1:49238 - tcpserver.cc:53
20230319 20:50:00.748067 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#17] - tcpserver.cc:38
20230319 20:50:00.748078 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748087 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#25] - tcpserver.cc:38
20230319 20:50:00.748091 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#21] - tcpserver.cc:38
20230319 20:50:00.748093 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#13] - tcpserver.cc:38
20230319 20:50:00.748093 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#37] - tcpserver.cc:38
20230319 20:50:00.748094 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#29] - tcpserver.cc:38
20230319 20:50:00.748095 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#32] - tcpserver.cc:38
20230319 20:50:00.748096 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#28] - tcpserver.cc:38
20230319 20:50:00.748113 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#39] from 127.0.0.1:49250 - tcpserver.cc:53
20230319 20:50:00.748116 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#24] - tcpserver.cc:38
20230319 20:50:00.748122 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#40] from 127.0.0.1:49262 - tcpserver.cc:53
20230319 20:50:00.748126 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#33] - tcpserver.cc:38
20230319 20:50:00.748127 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#26] - tcpserver.cc:38
20230319 20:50:00.748128 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#22] - tcpserver.cc:38
20230319 20:50:00.748139 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#41] from 127.0.0.1:49264 - tcpserver.cc:53
20230319 20:50:00.748150 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#14] - tcpserver.cc:38
20230319 20:50:00.748152 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#18] - tcpserver.cc:38
20230319 20:50:00.748159 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748162 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#42] from 127.0.0.1:49280 - tcpserver.cc:53
20230319 20:50:00.748161 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748163 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#36] - tcpserver.cc:38
20230319 20:50:00.748168 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748171 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#43] from 127.0.0.1:49282 - tcpserver.cc:53
20230319 20:50:00.748177 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#44] from 127.0.0.1:49302 - tcpserver.cc:53
20230319 20:50:00.748183 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#45] from 127.0.0.1:49308 - tcpserver.cc:53
20230319 20:50:00.748183 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748192 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#46] from 127.0.0.1:49312 - tcpserver.cc:53
20230319 20:50:00.748195 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748199 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748200 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#47] from 127.0.0.1:49310 - tcpserver.cc:53
20230319 20:50:00.748206 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#48] from 127.0.0.1:49320 - tcpserver.cc:53
20230319 20:50:00.748214 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#49] from 127.0.0.1:49324 - tcpserver.cc:53
20230319 20:50:00.748221 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748222 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#50] from 127.0.0.1:49328 - tcpserver.cc:53
20230319 20:50:00.748229 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748230 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#51] from 127.0.0.1:49336 - tcpserver.cc:53
20230319 20:50:00.748231 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#41] - tcpserver.cc:38
